	title	contributor	date	lot	country	city	locationdef	source	basename	ur
152	A Jinricksha Natal	['Photoglob Co., publisher', 'Wilson, G. W. (George Washington), 1823-1893, photographer']	1890	LOT 14192	['south africa']	no city	South Africa	no source	2017657663.jpg	http://www.loc.gov/item/2017657663/
153	Port Said, entrée du port	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['port said']	Egypt	no source	2017656971.jpg	http://www.loc.gov/item/2017656971/
154	[The harbor, II., Margate, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697066.jpg	http://www.loc.gov/item/2002697066/
155	[Landing place and cathedral, Belgrade, Servia]	no contributor	1890	LOT 13433	no country	no city	Serbia	Views of Belgrade, Serbia	2001698830.jpg	http://www.loc.gov/item/2001698830/
156	[Windmill, Potsdam, Berlin, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713641.jpg	http://www.loc.gov/item/2002713641/
157	[The Summit Hotel, Brunig, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701126.jpg	http://www.loc.gov/item/2001701126/
158	Mission Santa Inez	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678181.jpg	http://www.loc.gov/item/2008678181/
159	[Johannes Kirche, Stuttgart, Wurtemburg, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720822.jpg	http://www.loc.gov/item/2002720822/
160	[Persenbeug, Lower Austria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708373.jpg	http://www.loc.gov/item/2002708373/
161	[Royal Theatre, Brussels, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697911.jpg	http://www.loc.gov/item/2001697911/
162	[The sepulchre of Nicholas von der Flueh, Sachseln, Unterwald, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703265.jpg	http://www.loc.gov/item/2001703265/
163	[Thun and the Alps, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701258.jpg	http://www.loc.gov/item/2001701258/
164	The Jefferson Davis mansion, Richmond, Virginia	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679544.jpg	http://www.loc.gov/item/2008679544/
165	[Fiume, the canal, Croatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710743.jpg	http://www.loc.gov/item/2002710743/
166	[Zell on the Ziller (i.e., Zell am Ziller), Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711851.jpg	http://www.loc.gov/item/2002711851/
167	[Winter scene with log structure, Grisons, Switzerland]	no contributor	1890	LOT 13512	no country	no city	unidentified	Nineteenth century travel views of Europe	2002715111.jpg	http://www.loc.gov/item/2002715111/
168	Burg Karlstein (Böhmen)	['Photoglob Co., publisher']	1890	LOT 14184	['czech republic']	['karlštejn']	Czech Republic	no source	2017659153.jpg	http://www.loc.gov/item/2017659153/
169	[The waterfall Orjechowoi Balkje, Kisslowodzk, (i.e., Kislovodsk), Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697442.jpg	http://www.loc.gov/item/2001697442/
170	[Jersey, Gorey and the castle, Channel Islands, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696509.jpg	http://www.loc.gov/item/2002696509/
171	[Arosa, general view, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702474.jpg	http://www.loc.gov/item/2001702474/
172	[The Buiten Amstel, Amsterdam, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698758.jpg	http://www.loc.gov/item/2001698758/
173	[The castle, Detmold, Lippe, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713929.jpg	http://www.loc.gov/item/2002713929/
174	[Achill Head. County Mayo, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717439.jpg	http://www.loc.gov/item/2002717439/
175	[Glimpse of castle and city from Holle, Wilhelmshohe, Cassel (i.e., Kassel), Hesse-Nassau, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713883.jpg	http://www.loc.gov/item/2002713883/
176	[Peterhof golden stair, St. Petersburg, Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697507.jpg	http://www.loc.gov/item/2001697507/
177	Red Mountain, Ouray-Silverton Stage Road, Colorado	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008678210.jpg	http://www.loc.gov/item/2008678210/
178	[Deffreggerhutte, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711017.jpg	http://www.loc.gov/item/2002711017/
179	[Cowes, the green, II., Isle of Wight, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708236.jpg	http://www.loc.gov/item/2002708236/
180	[Market, Biskra, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697854.jpg	http://www.loc.gov/item/2001697854/
181	[The ruins of Valkhof (i.e. Valkenhof), Nymegen (i.e., Nijmegen), Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699519.jpg	http://www.loc.gov/item/2001699519/
182	[Simplon Pass, the village, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703320.jpg	http://www.loc.gov/item/2001703320/
183	[Cathedral from river, Gloucester, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696765.jpg	http://www.loc.gov/item/2002696765/
184	Shore path at Hulett's, Lake George, N.Y.	['Detroit Photographic Co.']	1904	LOT 13923	no country	no city	US	no source	2008679682.jpg	http://www.loc.gov/item/2008679682/
185	[Town and harbor from St. Dimila, Beyrout, Holy Land, (i.e., Beirut, Lebanon)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002724973.jpg	http://www.loc.gov/item/2002724973/
186	[The Promenade, Montpelier, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698471.jpg	http://www.loc.gov/item/2001698471/
187	[Feldsee and Feldberger Hotel, Black Forest, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696335.jpg	http://www.loc.gov/item/2002696335/
188	[Market place, Norderney, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713753.jpg	http://www.loc.gov/item/2002713753/
189	[A court yard (Calle dell Angelo a San Martino), Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701034.jpg	http://www.loc.gov/item/2001701034/
190	[Market place, Darmstadt, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714096.jpg	http://www.loc.gov/item/2002714096/
191	[Upper Engadine, Viamala, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703009.jpg	http://www.loc.gov/item/2001703009/
192	Acoma, New Mexico	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678093.jpg	http://www.loc.gov/item/2008678093/
193	[Pavilion Sevgne (i.e., Sévigné), Vichy, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001699260.jpg	http://www.loc.gov/item/2001699260/
194	[Interior, looking east, Carnarvon Castle (i.e. Caernarfon), Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703459.jpg	http://www.loc.gov/item/2001703459/
195	Champlain statue, Quebec	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008678139.jpg	http://www.loc.gov/item/2008678139/
196	Cathedral Peaks Lake Manawapouri	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017649295.jpg	http://www.loc.gov/item/2017649295/
197	[Drummond Castle from S.W. (i.e., Southwest), Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705974.jpg	http://www.loc.gov/item/2001705974/
198	[Douglas, Kirk Braddan, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697031.jpg	http://www.loc.gov/item/2002697031/
199	[Pola, Maximilian's Monument, Istria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710939.jpg	http://www.loc.gov/item/2002710939/
200	[Grindelwald, Bear Hotel and glacier, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701171.jpg	http://www.loc.gov/item/2001701171/
201	[Victoria Hotel, Unter den Linden, Berlin, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713616.jpg	http://www.loc.gov/item/2002713616/
202	[Bad Alt-Schmecks, upper part, Tatra, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710893.jpg	http://www.loc.gov/item/2002710893/
203	[Emperor William's Monument, Coblenz, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714079.jpg	http://www.loc.gov/item/2002714079/
204	"[Casino entrance, ""L'Alpinisme,"" by Hippolyte Lucas, Monte Carlo, Riviera]"	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699325.jpg	http://www.loc.gov/item/2001699325/
205	Ceylon. Temple of Buddha on the Road to Gall	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['sri lanka']	India	no source	2017657634.jpg	http://www.loc.gov/item/2017657634/
206	[Trevone, near Padstow, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696620.jpg	http://www.loc.gov/item/2002696620/
207	[North Trondhjem, Trondhjem, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700760.jpg	http://www.loc.gov/item/2001700760/
208	[On the way to the Small Pond, Riesengebirge, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720526.jpg	http://www.loc.gov/item/2002720526/
209	[St. James' tower, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698534.jpg	http://www.loc.gov/item/2001698534/
210	[A Street, Oberammergau, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696270.jpg	http://www.loc.gov/item/2002696270/
211	[General view and beach, Trouville, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698723.jpg	http://www.loc.gov/item/2001698723/
212	[The beach, Warnemü̈nde, Rostock, Mecklenburg-Schwerin, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713952.jpg	http://www.loc.gov/item/2002713952/
213	[Market place and Bismarck's Fountain, Jena, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720731.jpg	http://www.loc.gov/item/2002720731/
214	[The Quays, Waterford. County Waterford, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717442.jpg	http://www.loc.gov/item/2002717442/
215	[Royal Military College, Sandhurst, Camberley]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696437.jpg	http://www.loc.gov/item/2002696437/
216	Athènes. Temple de la Victoire Aptere	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	['athens']	Greece	no source	2017656398.jpg	http://www.loc.gov/item/2017656398/
217	[The great clock, Rouen, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698689.jpg	http://www.loc.gov/item/2001698689/
218	[Cliveden from below Cookham Ferry, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696964.jpg	http://www.loc.gov/item/2002696964/
219	[Pieve di Ledro, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700824.jpg	http://www.loc.gov/item/2001700824/
220	Holland Molen	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699562.jpg	http://www.loc.gov/item/2001699562/
221	[Thorwaldsen (i.e., Thorvaldsen) Museum, Copenhagen, Denmark]	no contributor	1890	LOT 13421	no country	no city	Denmark	Views of architecture and other sites in Copenhagen, Denmark	2001697985.jpg	http://www.loc.gov/item/2001697985/
222	Giggleswick scar	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708308.jpg	http://www.loc.gov/item/2002708308/
223	[Watermouth caves, Ilfracombe, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696821.jpg	http://www.loc.gov/item/2002696821/
224	[Sulden Hotel, Sulden, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711129.jpg	http://www.loc.gov/item/2002711129/
225	[Great Cascade, Tivoli, Rome, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700961.jpg	http://www.loc.gov/item/2001700961/
226	Beside the Temple, Salt Lake City	['Detroit Photographic Co.']	1900	LOT 13923	no country	no city	US	no source	2008678284.jpg	http://www.loc.gov/item/2008678284/
227	[Ortler Group, from the Payerhutte, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711083.jpg	http://www.loc.gov/item/2002711083/
228	[Lutschinen, Aare Ravine, II, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701223.jpg	http://www.loc.gov/item/2001701223/
229	[Kara-Keui (Galata) and view of Pera, Constantinople, Turkey]	no contributor	1890	LOT 13428	['turkey']	no city	Turkey	Views of people and sites in Turkey	2001699427.jpg	http://www.loc.gov/item/2001699427/
230	[The Kurhaus, Westerland, Sylt, Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720674.jpg	http://www.loc.gov/item/2002720674/
231	[American Falls, Niagara]	['Detroit Photographic Co.']	1900	LOT 13923	no country	no city	US	no source	2008676330.jpg	http://www.loc.gov/item/2008676330/
232	[Fiume, the Corso, Croatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710738.jpg	http://www.loc.gov/item/2002710738/
233	[The castle of Henry IV, Pau, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698666.jpg	http://www.loc.gov/item/2001698666/
234	[From Eichenkopf, Lauterberg (i.e. Bad Lauterberg), Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713817.jpg	http://www.loc.gov/item/2002713817/
